gene_ID,Fold_change,padj,CDS_length_bps 
ctrip,0.49,0.00E+00,8124
Nf1,0.31,0.00E+00,8292
Ctl2,0.42,0.00E+00,2388
Vps13,0.53,0.00E+00,9963
Rme-8,0.57,0.00E+00,7224
Nup188,0.57,0.00E+00,5598
Prosap,0.56,0.00E+00,5418
IntS1,0.52,0.00E+00,6159
HUWE1,0.41,0.00E+00,15453
CG12517,0.2,0.00E+00,414
ALiX,0.73,7.25E-14,2508
toc,0.53,7.25E-14,6486
hob,0.53,3.73E-13,6900
fry,0.42,3.73E-13,10470
Sf3b3,0.47,5.45E-12,3681
CG16974,0.57,1.44E-11,3771
eya,0.31,1.50E-11,2298
ana3,0.33,4.09E-11,5931
CG7745,1.78,7.78E-11,1518
Arc1,0.25,1.25E-10,762
Prp8,0.64,1.96E-10,7188
Mis12,2.48,2.14E-10,543
CG7137,1.59,2.89E-10,1074
Hel89B,0.46,3.01E-10,5769
Svil,0.69,4.24E-10,5106
Dys,0.62,4.46E-10,9381
Lpin,0.62,4.46E-10,3105
CG15347,0.42,1.29E-09,642
CG17734,1.73,1.68E-09,303
Dhc98D,0.06,1.88E-09,13335
CG5958,0.4,2.60E-09,882
Act57B,0.33,2.71E-09,1128
GramD1B,0.63,2.72E-09,3636
CG15099,0.54,5.93E-09,7797
mRpL17,1.5,6.92E-09,528
CG7518,0.53,7.79E-09,7392
shtd,0.6,8.32E-09,6090
eIF3c,0.75,8.42E-09,2730
Rpn5,1.27,1.01E-08,1506
Upf1,0.62,1.03E-08,3540
Iml1,0.52,1.11E-08,4413
mv,0.56,1.23E-08,10605
CG4968,1.49,1.29E-08,786
CG15611,0.26,1.59E-08,1524
Tap42,1.43,2.55E-08,1140
CG2747,0.55,2.83E-08,6318
CG10512,0.33,3.35E-08,1338
pAbp,0.59,4.66E-08,1902
HipHop,1.85,6.28E-08,663
eIF4A,0.76,6.28E-08,1209
STUB1,1.67,6.28E-08,867
CG7208,1.53,6.47E-08,1341
CG31368,0.59,7.45E-08,4458
Ugt37D1,0.22,7.78E-08,1629
msps,0.73,9.25E-08,6150
Ssdp,0.63,9.80E-08,1335
CG18259,2.57,9.80E-08,1422
Dic1,0.36,9.83E-08,840
msd1,1.72,1.12E-07,414
alpha-Spec,0.59,1.12E-07,7245
HmgZ,0.39,1.12E-07,333
spn-A,1.83,1.14E-07,1008
gbb,0.37,1.33E-07,1365
Chrac-14,1.6,1.33E-07,384
Lip4,0.35,1.48E-07,1302
faf,0.62,1.82E-07,8334
Cdk8,1.67,1.82E-07,1362
CG14036,1.55,1.83E-07,279
poe,0.49,1.89E-07,15966
Men,0.49,1.92E-07,2289
Naa40,1.69,1.94E-07,606
Usp47,0.71,1.99E-07,4668
CG42239,1.91,1.99E-07,207
BRWD3,0.57,2.24E-07,6696
CG18067,0.32,2.24E-07,735
Not1,0.65,2.32E-07,7515
svr,0.71,2.38E-07,4317
Inx3,0.44,2.99E-07,1185
CG33080,0.32,3.67E-07,2532
wupA,0.3,4.53E-07,624
Uggt,0.81,4.92E-07,4644
CG5853,0.39,4.95E-07,2067
lva,0.65,5.54E-07,8337
Epg5,0.64,6.88E-07,7365
Tcs3,1.45,6.97E-07,1041
Rcp,1.72,7.16E-07,714
E2f2,1.62,7.17E-07,1110
Taf1,0.7,7.82E-07,6195
Prosalpha2,1.41,8.28E-07,702
EndoU,1.63,8.51E-07,966
CG10623,0.46,8.99E-07,993
LamC,0.55,9.43E-07,1863
CG31729,0.75,9.60E-07,3261
sosie,0.29,1.08E-06,558
betaTub97EF,0.42,1.08E-06,1371
CG11839,1.93,1.11E-06,762
CG33107,1.76,1.12E-06,873
mRpL37,1.41,1.21E-06,1224
CG42672,0.67,1.21E-06,4656
CG2926,0.68,1.24E-06,6888
RpLP0,0.41,1.24E-06,951
GstT4,0.43,1.24E-06,711
CG9467,0.73,1.24E-06,2190
CG34015,1.74,1.24E-06,417
Tg,0.31,1.30E-06,2304
atl,0.78,1.60E-06,1623
Chc,0.71,1.66E-06,5034
Mhcl,0.61,1.67E-06,6480
CG9416,0.3,1.68E-06,2583
CG5867,0.3,1.80E-06,786
Ugt301D1,0.36,1.89E-06,1590
Trax,1.5,1.91E-06,894
cin,1.41,1.94E-06,1803
l(2)SH0834,1.45,2.01E-06,612
SPARC,0.41,2.02E-06,912
Arl2,1.74,2.18E-06,552
CG33977,2.04,2.18E-06,282
Idgf6,1.58,2.18E-06,1356
Su(var)205,1.34,2.18E-06,618
Mes4,1.69,2.21E-06,465
mRpS7,1.34,2.22E-06,654
CG6218,0.4,2.27E-06,1044
CG6891,0.39,2.27E-06,489
APC10,1.87,2.37E-06,585
CG9752,1.44,2.66E-06,1029
Mp,0.35,2.70E-06,2919
LSm3,1.52,2.92E-06,309
#N/A,1.59,2.92E-06,1221
htt,0.58,2.96E-06,10749
CG12499,0.57,3.64E-06,6177
CG4250,0.38,3.75E-06,363
Prm,0.3,3.76E-06,2637
Tango1,0.74,3.77E-06,4290
Prosbeta2,1.33,3.95E-06,816
Nup358,0.68,4.07E-06,8154
PQBP1,2.01,4.49E-06,693
Pfrx,0.61,4.49E-06,2145
CG31156,1.66,4.53E-06,2844
RfC4,1.39,4.65E-06,993
Mlc2,0.34,4.75E-06,666
stx,0.68,4.75E-06,3366
RpL4,0.56,4.94E-06,1203
CG1572,0.42,4.97E-06,480
Bmcp,0.49,5.49E-06,909
mRpL54,1.58,5.64E-06,396
mop,0.66,5.73E-06,5499
CG8547,0.46,5.84E-06,1854
CHORD,1.36,6.04E-06,1062
Nup153,0.73,6.05E-06,5649
S6k,0.78,6.36E-06,1470
Pop4,1.68,6.36E-06,618
CG32590,2.11,6.36E-06,549
Megf8,0.43,6.36E-06,8676
RpS2,0.42,6.36E-06,801
CG3652,1.57,6.79E-06,672
babos,0.41,6.82E-06,588
Oatp74D,0.39,7.31E-06,2457
CG42566,0.45,7.39E-06,229
CG34347,0.37,7.49E-06,4551
spz,2.02,7.92E-06,900
CG8858,0.75,7.93E-06,5670
Prosbeta6,1.3,8.11E-06,705
Rpb11,1.32,8.11E-06,351
spir,0.6,8.17E-06,2970
CG9776,0.7,8.63E-06,3780
RfC3,1.51,8.98E-06,996
Rpn7,1.42,9.30E-06,1167
CG14882,1.89,9.62E-06,1362
wts,0.56,9.62E-06,3315
CG6180,1.29,9.89E-06,771
CG46339,0.42,1.00E-05,3213
CG31676,0.23,1.02E-05,477
Spc25,1.74,1.03E-05,666
Gp150,0.48,1.05E-05,3153
CG9336,0.43,1.05E-05,444
metro,0.34,1.09E-05,1755
per,0.38,1.19E-05,3654
tj,0.39,1.24E-05,1533
18w,0.44,1.24E-05,4155
CG5815,1.52,1.28E-05,1743
kto,0.68,1.28E-05,7593
tyf,0.72,1.31E-05,5001
wek,1.8,1.39E-05,1410
Mlc1,0.34,1.40E-05,465
CG30154,0.1,1.40E-05,192
Cat,0.52,1.43E-05,1518
Nup214,0.75,1.43E-05,5133
nonC,0.65,1.49E-05,9654
Vsp37A,1.5,1.58E-05,588
E(spl)mbeta-HLH,0.31,1.60E-05,585
cer,0.52,1.65E-05,237
Unc-89,0.24,1.78E-05,9930
CG16700,0.47,1.82E-05,1404
CG5676,1.42,1.82E-05,468
CG8441,1.47,1.86E-05,759
Prosalpha4,1.29,1.87E-05,747
CG9864,0.46,1.87E-05,1395
up,0.32,1.92E-05,1191
Spred,0.57,2.01E-05,1212
Fmr1,1.82,2.03E-05,2052
Prosbeta7,1.29849453,0.0000215,804
CG31855,1.44525114,0.0000217,327
Ubc6,1.37495325,0.0000219,453
CG14692,0.04260355,0.0000222,8553
CG9220,0.29957994,0.0000222,2496
Atet,0.38160572,0.0000222,2496
vkg,0.41948599,0.0000222,5820
Dlip2,1.80478797,0.0000229,678
RpL3,0.52674109,0.0000233,1248
Pi3K92E,0.58721933,0.0000233,3264
dtn,0.4863636,0.0000238,3960
Taf10b,1.4557692,0.0000241,438
CG2790,1.75023431,0.0000261,1620
CG44325,0.47675644,0.0000262,375
CG8173,1.57547844,0.0000262,1194
Pbgs,1.71947422,0.0000271,981
CG45076,0.18078973,0.000028,1029
CG4424,2.17307492,0.0000283,1035
Col4a1,0.42218431,0.0000284,5337
CG10254,0.67492711,0.0000296,4194
TrissinR,0.05501051,0.0000306,1992
emp,0.47107838,0.000031,1560
stc,0.70864561,0.0000313,3297
CG8460,1.52586191,0.0000324,1206
CG44085,0.40241114,0.0000329,2754
Tfb4,1.94205203,0.0000334,897
squ,1.60425764,0.0000335,723
qua,1.50760834,0.0000336,2661
CG5144,2.5561504,0.0000347,1164
CG12129,1.59950756,0.0000348,1056
Tomosyn,0.63719238,0.0000358,4410
RPA2,1.53546276,0.0000366,738
cry,0.40953837,0.0000373,1626
CG1648,0.37426768,0.000038,690
CG6830,0.18852002,0.0000391,2673
Bug22,2.0451037,0.0000394,597
RpL28,0.57236804,0.000042,432
CG17724,0.39561839,0.0000436,1554
CG10916,0.48383897,0.0000436,789
Clamp,1.31759675,0.0000436,1683
RpS13,0.51909243,0.0000441,453
ste14,1.70306828,0.0000443,897
Pcf11,0.74711688,0.0000458,258
CG7296,0.07152432,0.0000468,483
ste24a,1.33510975,0.0000469,1353
nocte,0.65493289,0.0000469,6927
CG4554,0.55059678,0.0000476,8199
CG3448,1.81340808,0.000048,705
CG18278,12.5062917,0.0000493,1476
peb,0.54662084,0.0000494,5682
EMC1,0.83054356,0.0000503,2745
cv-2,0.2180782,0.0000506,2253
stl,0.52288703,0.0000506,3408
Buffy,0.31589786,0.000051,897
Asciz,1.75220714,0.0000519,1164
CG6908,0.15723402,0.0000521,1245
CG12290,0.31995205,0.0000521,2394
Rrp47,1.32964814,0.0000526,477
KrT95D,0.63232405,0.000053,3525
klar,0.73007976,0.0000556,5469
CG9932,0.45294222,0.0000556,6501
CG32369,0.38559316,0.0000588,3198
Tm2,0.36675222,0.0000611,852
CG4553,1.76332049,0.0000611,1089
Lsm10,2.60195209,0.000064,423
mthl14,0.38943001,0.0000646,1599
CG15431,0.11238216,0.000067,3078
NtR,0.06432964,0.0000672,1734
CG31142,1.63305411,0.0000677,465
Gbp1,0.14057701,0.000068,354
GAPcenA,0.7383067,0.0000698,3015
Nup160,0.79348092,0.0000701,4233
Swim,0.4076908,0.0000706,1293
CG4788,1.47242838,0.0000706,756
mamo,0.39988013,0.000071,3327
CG18343,0.58481789,0.0000723,297
Gel,0.59571579,0.0000728,2394
CG17029,0.5078344,0.000073,852
CG2519,0.66105234,0.0000732,3840
Syp,0.37949337,0.0000765,1587
PCB,0.6555466,0.0000766,3543
Rab3-GAP,0.75909416,0.0000795,4023
Galphai,1.33244204,0.0000803,1065
RpL6,0.57223343,0.0000821,786
Sec31,0.77342799,0.0000829,3720
CG15083,0.62255367,0.0000829,450
Rep,1.5581908,0.0000829,1533
snf,1.3225424,0.0000829,648
Rrp1,1.43498323,0.0000829,2037
slpr,0.63412044,0.0000834,3444
mirr,0.40833458,0.0000846,1923
Cyp6a9,0.41162782,0.0000878,1512
CG43103,0.33250306,0.0000878,231
DNApol-epsilon255,0.70763133,0.0000913,6708
Prosalpha6,1.41129673,0.0000915,837
ImpL2,0.41370063,0.0000931,789
ec,0.37309813,0.0000934,5295
betaggt-II,0.55578335,0.0000962,1041
Ptp99A,0.5437845,0.0000968,2766
LBR,1.6934796,0.0000982,2148
r,0.5230104,0.0000982,6672
LanB2,0.46226272,0.0000996,4917
CG33144,0.38230271,0.0000996,3306
Fur2,0.64317023,0.0001009,5046
fs(1)Yb,0.3291105,0.00010223,3126
Cyp18a1,0.44835026,0.0001039,1614
Ncc69,0.47413353,0.00010574,3573
Bruce,0.67391775,0.00010646,14556
Spc105R,0.64650312,0.00010646,5880
CG43134,0.48399023,0.00011166,246
Cad99C,0.45463634,0.00011396,5118
GstO2,1.34026409,0.00011581,750
CG8833,1.49976126,0.00011722,2856
caps,0.4939863,0.00011907,1620
kar,0.49789941,0.00012026,1659
dpr8,0.30490102,0.00012238,1032
Timp,0.39973592,0.00012837,630
APP-BP1,1.44905747,0.00012837,1572
CG5597,0.26568066,0.00012837,780
CG9272,1.50775442,0.00012837,1164
CG31121,0.32849923,0.00012923,2733
Rpn9,1.29348819,0.00013037,1146
Achl,0.09767526,0.00013064,2601
CG10939,0.62204899,0.00013313,888
hng1,2.23678118,0.00013418,945
lqf,0.81675805,0.00013531,1920
CG10616,1.6247204,0.00013531,1476
CG43295,2.34480835,0.00013531,501
rictor,0.70365172,0.00013666,5808
Mlp60A,0.31479704,0.00013703,276
pix,0.6338261,0.00014316,1833
PGAP1,0.69373587,0.00014316,2940
Lint-1,1.35385319,0.00014316,1806
Non1,0.52144763,0.0001443,1956
CG11164,1.65948865,0.00014479,1020
Egfr,0.50859926,0.00014538,4131
cuff,1.96284216,0.0001477,1152
atilla,0.45696667,0.00014978,429
noc,0.35741226,0.00015175,1611
Larp7,1.28642608,0.00015236,1785
mRpL50,1.41085419,0.00015315,567
pasi1,1.59810167,0.00015573,507
RpS5a,0.5179444,0.00015573,684
TORIP,1.42755724,0.00015601,903
Shark,1.84924395,0.0001568,2817
RpL10Ab,0.40057485,0.00015778,651
y,0.39283003,0.00016187,1623
PNUTS,0.63575898,0.00016327,3405
Rbcn-3A,0.52126804,0.0001665,10278
tweek,0.6334836,0.0001665,15348
tutl,0.19765507,0.00016986,2889
Cht10,0.44163303,0.00017059,6858
CRMP,0.32443531,0.0001706,996
nord,0.26676535,0.0001706,1761
sog,0.44716523,0.0001706,3114
SP1173,0.4359388,0.00017721,2223
pain,0.41217882,0.00017721,2739
pcm,0.69435869,0.00017721,4836
CG12177,0.42291709,0.00018196,1086
Hmg-2,1.7256937,0.00018313,1128
CG12581,0.40798926,0.00018541,1995
RpS6,0.62156051,0.00019543,744
Fancl,1.56148315,0.00019743,1143
dom,0.65213464,0.00019743,7491
CG8461,1.56146528,0.00020133,732
geminin,1.5458267,0.00020133,576
CG5346,0.53915858,0.0002091,1209
MED23,0.68070382,0.00021785,4317
AANAT1,0.39871877,0.00022072,825
MED31,1.54184139,0.00022166,612
msb1l,1.35752321,0.00022166,1143
bond,0.4149503,0.00022242,966
Fib,0.63528342,0.00022242,1032
Ilp8,0.46957576,0.0002234,450
CG13868,0.46959209,0.0002234,1569
RhoGEF2,0.67731323,0.00022351,7677
CG5056,1.47352121,0.00022351,861
Fas3,0.46624541,0.00022763,1425
Pfk,0.85997194,0.00023433,2364
Asph,0.56153677,0.00023521,2355
Bin1,1.50736447,0.00023635,450
Rrp4,0.59930943,0.00024292,894
NetB,0.21414828,0.00024427,2379
Snr1,1.52073455,0.00024741,1110
Fas2,0.48288825,0.00024741,2577
vret,1.28219188,0.00025732,2073
bug,1.62654419,0.00025956,885
CG10311,0.22450217,0.00026026,495
CG11399,0.73839087,0.00026026,2760
CG9394,0.49277562,0.0002649,2037
